packages/app/src/components/dialog-connect-provider.tsx(228,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(229,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(232,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(233,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(235,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(236,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(242,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(243,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(246,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(249,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(252,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(267,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(268,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(287,52): error TS2304: Cannot find name 'SubmitEvent'.
packages/app/src/components/dialog-connect-provider.tsx(290,55): error TS2304: Cannot find name 'HTMLFormElement'.
packages/app/src/components/dialog-connect-provider.tsx(291,53): error TS2554: Expected 0 arguments, but got 1.
packages/app/src/components/dialog-connect-provider.tsx(313,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(314,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(317,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(318,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(333,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(334,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(362,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
